Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,C,C1 C4 C6 C7 C8 C9 C10 C11,10nF,SMD-0805,8, ,
2,,C,C2 C5 C12,100nF,SMD-0805,3, ,
3,,C,C3,10uF,SMD-0805,1, ,
4,,D_Schottky,D2 D3 D4 D5 D6 D7 D8 D9,BAS85,MiniMELF_Standard,8, ,
5,,DIODE,D1,BZV55C,Diode-MiniMELF_Standard,1, ,
6,,CONN_2,J2 J4 J6 J8,CONN_2,Straight_1x02,4, ,
7,,JUMP2_2x1,J10 J11,JUMP2_2x1,Straight_2x01,2, ,
8,,JUMP_2x1,J5 J7 J9 J14 J15 J16 J17 J18 J19 J20 J21 J22 J23,JUMP_2x1,Straight_1x02,13, ,
9,,JUMP_2x1,J3,JUMP_2x1,Straight_2x01,1, ,
10,,JUMP_5X2,J13,JUMP_5X2,Straight_2x05,1, ,
11,,INDUCTOR_SMALL,L1,BLM21PG300SN1D,SMD-0805,1, ,
12,,R,R1 R2 R11 R12,249R,SMD-1206,4, ,
13,,R,R21 R22 R23 R24,10K,SMD-0805,4, ,
14,,R,R7 R8 R9 R10 R17 R18 R19 R20,33K,SMD-0805,8, ,
15,,R,R3 R4 R5 R6 R13 R14 R15 R16,180K,SMD-0805,8, ,
16,,MCP3424,U3,MCP3424,SOIC-14,1, ,
17,,TLC27L2ID,U1 U2,TLC27L2ID,SOIC-8_3.9x4.9mm_Pitch1.27mm,2, ,





Project info:
Schematic:,VCAI2C01A
Variant:,default
Revision:,
Date:,2022-07-12_09-53-15
KiCad Version:,6.0.4-6f826c9f35~116~ubuntu20.04.1
Statistics:
Component Groups:,17
Component Count:,70
Fitted Components:,70
Number of PCBs:,1
Total Components:,70
