Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,C,C1C4C6C7C8C9C10C11,10nF,SMD-0805,8,
2,,C,C2C5C12,100nF,SMD-0805,3,
3,,C,C3,10uF,SMD-0805,1,
4,,D_Schottky,D2D3D4D5D6D7D8D9,BAS85,MiniMELF_Standard,8,
5,,DIODE,D1,BZV55C,Diode-MiniMELF_Standard,1,
6,,CONN_2,J2J4J6J8,CONN_2,Straight_1x02,4,
7,,JUMP2_2x1,J10J11,JUMP2_2x1,Straight_2x01,2,
8,,JUMP_2x1,J5J7J9J14J15J16J17J18J19J20J21J22J23,JUMP_2x1,Straight_1x02,13,
9,,JUMP_2x1,J3,JUMP_2x1,Straight_2x01,1,
10,,JUMP_5X2,J13,JUMP_5X2,Straight_2x05,1,
11,,INDUCTOR_SMALL,L1,BLM21PG300SN1D,SMD-0805,1,
12,,R,R1R2R11R12,249R,SMD-1206,4,
13,,R,R21R22R23R24,10K,SMD-0805,4,
14,,R,R7R8R9R10R17R18R19R20,33K,SMD-0805,8,
15,,R,R3R4R5R6R13R14R15R16,180K,SMD-0805,8,
16,,MCP3424,U3,MCP3424,SOIC-14,1,
17,,TLC27L2ID,U1U2,TLC27L2ID,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,
